Day,RevealDate,DateLabel,Weekday,WeekArc,ChallengeEN,ChallengeAR,WhyItMatters,TomorrowTeaser,SocialCaption,SourceRef,Status,SentDateTime,RunID
1,2026-08-03,3 Aug,Mon,W1 · I See You,Use Their Name - Greet one colleague by name today.,استخدم اسمه - حيِّ زميلاً واحداً باسمه اليوم.,"A personal greeting takes only seconds, but it helps a colleague feel noticed and respected.",Tomorrow: go beyond the people you already know.,Day 1/21 👋 Use their name. One small greeting can change the tone of a shift. #AHDThrive365 #AHDConnect,#1,Scheduled,,
2,2026-08-04,4 Aug,Tue,W1 · I See You,Cross the Circle - Greet someone outside your usual team or department.,وسّع دائرة التواصل - حيِّ شخصاً من خارج فريقك أو قسمك المعتاد.,Connection across departments strengthens collaboration and reminds us that we are One AHD.,Tomorrow: someone you regularly pass may still feel unnoticed.,Day 2/21 🤝 Step outside your usual circle and greet someone new. #AHDThrive365 #AHDConnect,#21,Scheduled,,
3,2026-08-05,5 Aug,Wed,W1 · I See You,Notice Someone New - Acknowledge a colleague you do not normally speak with.,لاحظ شخصاً جديداً - أظهر التقدير لزميل لا تتحدث معه عادةً.,"A smile, greeting, or respectful gesture can turn an ordinary moment into belonging.",Tomorrow: a new beginning becomes easier when someone opens the door.,Day 3/21 👀 Notice someone new. A greeting is enough to begin. #AHDThrive365 #AHDConnect,#24,Scheduled,,
4,2026-08-06,6 Aug,Thu,W1 · I See You,"Make the Welcome Real - Welcome someone beginning a shift, joining a meeting, or entering your work area.",اجعل الترحيب حقيقياً - رحّب بمن يبدأ مناوبته أو ينضم إلى اجتماع أو يدخل منطقة عملك.,Welcoming behavior reduces distance and helps people enter the day with confidence.,Tomorrow: how we end an interaction can matter as much as how we begin.,Day 4/21 🌟 Make the welcome real. Help someone start with confidence. #AHDThrive365 #AHDConnect,#41,Scheduled,,
5,2026-08-07,7 Aug,Fri,W1 · I See You,"End with Warmth - Before your day or shift ends, wish one colleague well.",اختم يومك بودّ - قبل نهاية يومك أو مناوبتك، تمنَّ الخير لزميل.,A thoughtful closing leaves people feeling valued beyond the task itself.,Next week: appreciation becomes specific.,Day 5/21 ☀️ End with warmth. One kind wish before you go. #AHDThrive365 #AHDConnect,#20,Scheduled,,
6,2026-08-10,10 Aug,Mon,W2 · I Appreciate You,Make It Specific - Thank one colleague for a specific action and explain why it helped.,كن محدداً - اشكر زميلاً على عمل محدد واشرح كيف أحدث فرقاً.,Specific appreciation feels genuine and makes positive behavior easier to repeat.,"Tomorrow: effort deserves recognition, even before the result.",Day 6/21 🙌 Name the action. Name the impact. Make appreciation specific. #AHDThrive365 #AHDConnect,#3,Scheduled,,
7,2026-08-11,11 Aug,Tue,W2 · I Appreciate You,"Recognize the Effort - Appreciate someone’s effort, even if the work is still in progress.",قدّر الجهد - عبّر عن تقديرك لجهد شخص حتى لو كان العمل لا يزال مستمراً.,"Recognizing effort supports motivation during demanding work, not only after success.",Tomorrow: turn your appreciation into a message.,Day 7/21 💙 Results matter. Effort matters too. Recognize it today. #AHDThrive365 #AHDConnect,#83,Scheduled,,
8,2026-08-12,12 Aug,Wed,W2 · I Appreciate You,Send It - Message a colleague who made your work easier this week.,أرسلها - ابعث رسالة لزميل جعل عملك أسهل هذا الأسبوع.,A short written thank-you can be revisited and remembered long after the moment.,Tomorrow: good feedback should travel.,Day 8/21 💬 Send the message you have been meaning to send. #AHDThrive365 #AHDConnect,#4,Scheduled,,
9,2026-08-13,13 Aug,Thu,W2 · I Appreciate You,"Pass It On - If you hear positive feedback about a colleague, make sure they receive it.",انقلها إليه - إذا سمعت إشادة بزميل، فتأكد من وصولها إليه.,Passing on praise builds trust and prevents meaningful recognition from being lost.,Tomorrow: close the week by telling someone what you value.,Day 9/21 📣 Good feedback should reach the person who earned it. #AHDThrive365 #AHDConnect,#64,Scheduled,,
10,2026-08-14,14 Aug,Fri,W2 · I Appreciate You,Finish with Appreciation - Tell one colleague what you valued about working with them this week.,اختم بالتقدير - أخبر زميلاً بما قدّرته في العمل معه هذا الأسبوع.,A sincere weekly reflection strengthens relationships and reinforces teamwork.,"Next week: the challenge is not to speak more, but to listen better.",Day 10/21 ❤️ Finish the week with genuine appreciation. #AHDThrive365 #AHDConnect,#46,Scheduled,,
11,2026-08-17,17 Aug,Mon,W3 · I Hear You,Two Minutes of Attention - Give one colleague your full attention without checking another screen or task.,دقيقتان من الاهتمام - امنح زميلاً كامل انتباهك دون الانشغال بشاشة أو مهمة أخرى.,Undivided attention signals respect and allows important details to surface.,Tomorrow: let the other person reach the end of their thought.,Day 11/21 👂 Two minutes. Full attention. No multitasking. #AHDThrive365 #AHDConnect,#126,Scheduled,,
12,2026-08-18,18 Aug,Tue,W3 · I Hear You,"Let Them Finish - In one conversation today, consciously avoid interrupting.",دعه يكمل - تجنّب المقاطعة بوعي في محادثة واحدة اليوم.,Allowing someone to finish improves understanding and helps people feel heard.,Tomorrow: curiosity goes one question deeper.,Day 12/21 ⏸️ Pause. Listen. Let them finish. #AHDThrive365 #AHDConnect,#128,Scheduled,,
13,2026-08-19,19 Aug,Wed,W3 · I Hear You,Ask One More Question - Ask a genuine follow-up question to understand a colleague’s perspective.,اسأل سؤالاً إضافياً - اطرح سؤال متابعة حقيقياً لفهم وجهة نظر زميلك.,A thoughtful follow-up moves a conversation from hearing words to understanding meaning.,Tomorrow: listen before trying to solve.,Day 13/21 ❓ One more question can reveal a whole new perspective. #AHDThrive365 #AHDConnect,#143,Scheduled,,
14,2026-08-20,20 Aug,Thu,W3 · I Hear You,"Listen Before Solving - Ask: “Would you like a suggestion, or would you prefer me to listen?”",استمع قبل أن تقترح حلاً - اسأل: «هل تود اقتراحاً أم تفضّل أن أستمع؟»,Clarifying what someone needs prevents well-intended advice from replacing genuine support.,Tomorrow: check whether you understood correctly.,Day 14/21 🤍 Advice or attention? Ask before you assume. #AHDThrive365 #AHDConnect,#139,Scheduled,,
15,2026-08-21,21 Aug,Fri,W3 · I Hear You,Check Your Understanding - End one important conversation with: “Have I understood you correctly?”,تحقق من فهمك - اختم محادثة مهمة بسؤال: «هل فهمتك بشكل صحيح؟»,Checking understanding reduces assumptions and strengthens clear communication.,Final week: connection becomes practical support.,Day 15/21 ✅ Do not just listen-check that you understood. #AHDThrive365 #AHDConnect,#144,Scheduled,,
16,2026-08-24,24 Aug,Mon,W4 · I Support You,Offer Something Practical - Ask one colleague: “Is there anything practical I can do to help today?”,قدّم دعماً عملياً - اسأل زميلاً: «هل هناك شيء عملي يمكنني مساعدتك فيه اليوم؟»,A specific offer makes support easier to accept and easier to act on.,Tomorrow: support continues after the difficult moment.,Day 16/21 👐 Ask the practical question. Then be ready to help. #AHDThrive365 #AHDConnect,#53,Scheduled,,
17,2026-08-25,25 Aug,Tue,W4 · I Support You,"Check In Afterwards - Check in with someone after a demanding shift, meeting, or interaction.",تابع بعد الموقف - اطمئن على شخص بعد مناوبة أو اجتماع أو موقف صعب.,Following up shows that care continues after the pressure has passed.,Tomorrow: open the circle.,Day 17/21 💬 The difficult moment ended. Your support does not have to. #AHDThrive365 #AHDConnect,#212,Scheduled,,
18,2026-08-26,26 Aug,Wed,W4 · I Support You,"Open the Circle - Invite a colleague to join a break, conversation, or team moment when appropriate.",افتح الدائرة - ادعُ زميلاً للانضمام إلى استراحة أو محادثة أو لحظة جماعية عندما يكون ذلك مناسباً.,Small invitations reduce isolation and create a stronger sense of belonging.,Tomorrow: whose voice is missing?,Day 18/21 🔵 Open the circle. Make room for one more. #AHDThrive365 #AHDConnect,#55,Scheduled,,
19,2026-08-27,27 Aug,Thu,W4 · I Support You,Make Space for a Voice - Notice whose perspective may be missing and invite it respectfully.,أفسح المجال لصوت آخر - لاحظ وجهة النظر الغائبة وادعُ صاحبها للمشاركة باحترام.,Inclusive teams make better decisions when different perspectives can be heard safely.,Tomorrow: one action can make another team’s day easier.,Day 19/21 🎙️ Do not fill every silence. Invite another perspective. #AHDThrive365 #AHDConnect,#224,Scheduled,,
20,2026-08-28,28 Aug,Fri,W4 · I Support You,Make Someone’s Day Easier - Take one practical action that reduces an avoidable burden for a colleague or another department.,اجعل يوم شخص أسهل - قم بخطوة عملية تقلل عبئاً يمكن تجنبه عن زميل أو قسم آخر.,Support becomes culture when it crosses team and department boundaries.,Monday is the finale: choose the habit that stays.,"Day 20/21 🤝 One practical action. One easier day. Finish strong, AHD. #AHDThrive365 #AHDConnect",#121,Scheduled,,
21,2026-08-31,31 Aug,Mon,FINALE · We Are Connected,Make It Last - Choose one August connection behavior to continue in September. Team photo challenge: show us what “One AHD” means to you.,اجعلها عادة مستمرة - اختر سلوكاً واحداً من سلوكيات التواصل في أغسطس لتستمر عليه في سبتمبر. تحدي صورة الفريق: شاركونا معنى «AHD واحد».,"Culture is built not by what we try once, but by what we choose to repeat together.",SEPTEMBER REVEAL → Shaped by your feedback. Watch this space.,"Day 21/21 🏁 We connected, listened, appreciated and supported. Which habit will you keep? #AHD_Wellbieng_365 #AHDConnect",finale,Scheduled,,
