Day,RevealDate,DateLabel,Weekday,WeekArc,DailyThemeEN,DailyThemeAR,Pillar,PillarEN,PillarAR,PillarEmoji,PillarOrder,SlotTime,NudgeEN,NudgeAR,SourceRef,Status,SentDateTime,RunID
1,2026-08-03,3 Aug,Mon,W1 · I See You,Use Their Name,استخدم اسمه,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Use Their Name - Greet one colleague by name today.,استخدم اسمه - حيِّ زميلاً واحداً باسمه اليوم.,#1,Scheduled,,
1,2026-08-03,3 Aug,Mon,W1 · I See You,Use Their Name,استخدم اسمه,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Stand and stretch for one minute before your next task.,قِف وتمدّد لمدة دقيقة قبل مهمتك التالية.,draft,Scheduled,,
1,2026-08-03,3 Aug,Mon,W1 · I See You,Use Their Name,استخدم اسمه,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Note one small expense you can plan for this week.,دوّن مصروفاً بسيطاً يمكنك التخطيط له هذا الأسبوع.,draft,Scheduled,,
1,2026-08-03,3 Aug,Mon,W1 · I See You,Use Their Name,استخدم اسمه,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Take three slow breaths before you start.,خذ ثلاثة أنفاس بطيئة قبل أن تبدأ.,draft,Scheduled,,
2,2026-08-04,4 Aug,Tue,W1 · I See You,Cross the Circle,وسّع دائرة التواصل,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Cross the Circle - Greet someone outside your usual team or department.,وسّع دائرة التواصل - حيِّ شخصاً من خارج فريقك أو قسمك المعتاد.,#21,Scheduled,,
2,2026-08-04,4 Aug,Tue,W1 · I See You,Cross the Circle,وسّع دائرة التواصل,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Take the stairs or a short walk between tasks.,اصعد الدرج أو امشِ قليلاً بين المهام.,draft,Scheduled,,
2,2026-08-04,4 Aug,Tue,W1 · I See You,Cross the Circle,وسّع دائرة التواصل,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Check one subscription you no longer use.,راجع اشتراكاً واحداً لم تعد تستخدمه.,draft,Scheduled,,
2,2026-08-04,4 Aug,Tue,W1 · I See You,Cross the Circle,وسّع دائرة التواصل,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Set one clear intention for your day.,حدّد نيّة واضحة واحدة ليومك.,draft,Scheduled,,
3,2026-08-05,5 Aug,Wed,W1 · I See You,Notice Someone New,لاحظ شخصاً جديداً,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Notice Someone New - Acknowledge a colleague you do not normally speak with.,لاحظ شخصاً جديداً - أظهر التقدير لزميل لا تتحدث معه عادةً.,#24,Scheduled,,
3,2026-08-05,5 Aug,Wed,W1 · I See You,Notice Someone New,لاحظ شخصاً جديداً,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Roll your shoulders back slowly five times.,أدِر كتفيك للخلف ببطء خمس مرات.,draft,Scheduled,,
3,2026-08-05,5 Aug,Wed,W1 · I See You,Notice Someone New,لاحظ شخصاً جديداً,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Set aside a small amount toward a simple goal.,خصّص مبلغاً صغيراً لهدف بسيط.,draft,Scheduled,,
3,2026-08-05,5 Aug,Wed,W1 · I See You,Notice Someone New,لاحظ شخصاً جديداً,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Pause for thirty seconds between tasks.,توقّف ثلاثين ثانية بين المهام.,draft,Scheduled,,
4,2026-08-06,6 Aug,Thu,W1 · I See You,Make the Welcome Real,اجعل الترحيب حقيقياً,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,"Make the Welcome Real - Welcome someone beginning a shift, joining a meeting, or entering your work area.",اجعل الترحيب حقيقياً - رحّب بمن يبدأ مناوبته أو ينضم إلى اجتماع أو يدخل منطقة عملك.,#41,Scheduled,,
4,2026-08-06,6 Aug,Thu,W1 · I See You,Make the Welcome Real,اجعل الترحيب حقيقياً,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Drink a glass of water now.,اشرب كوب ماء الآن.,draft,Scheduled,,
4,2026-08-06,6 Aug,Thu,W1 · I See You,Make the Welcome Real,اجعل الترحيب حقيقياً,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Compare prices before one purchase today.,قارن الأسعار قبل عملية شراء واحدة اليوم.,draft,Scheduled,,
4,2026-08-06,6 Aug,Thu,W1 · I See You,Make the Welcome Real,اجعل الترحيب حقيقياً,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Name one thing you're grateful for now.,اذكر أمراً واحداً تشعر بالامتنان له الآن.,draft,Scheduled,,
5,2026-08-07,7 Aug,Fri,W1 · I See You,End with Warmth,اختم يومك بودّ,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,"End with Warmth - Before your day or shift ends, wish one colleague well.",اختم يومك بودّ - قبل نهاية يومك أو مناوبتك، تمنَّ الخير لزميل.,#20,Scheduled,,
5,2026-08-07,7 Aug,Fri,W1 · I See You,End with Warmth,اختم يومك بودّ,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Rest your eyes: look far away for twenty seconds.,أرِح عينيك: انظر إلى مكان بعيد لمدة عشرين ثانية.,draft,Scheduled,,
5,2026-08-07,7 Aug,Fri,W1 · I See You,End with Warmth,اختم يومك بودّ,Financial,Financial Wellbeing,الرفاه المالي,💡,3,11:30,Write down one financial goal for the month.,اكتب هدفاً مالياً واحداً لهذا الشهر.,draft,Scheduled,,
5,2026-08-07,7 Aug,Fri,W1 · I See You,End with Warmth,اختم يومك بودّ,Mental,Mental Wellbeing,الرفاه النفسي,🧠,4,13:45,Give one task your full attention.,امنح مهمة واحدة كامل انتباهك.,draft,Scheduled,,
6,2026-08-10,10 Aug,Mon,W2 · I Appreciate You,Make It Specific,كن محدداً,Social,Social Wellbeing,الرفاه الاجتماعي,🤝,1,07:00,Make It Specific - Thank one colleague for a specific action and explain why it helped.,كن محدداً - اشكر زميلاً على عمل محدد واشرح كيف أحدث فرقاً.,#3,Scheduled,,
6,2026-08-10,10 Aug,Mon,W2 · I Appreciate You,Make It Specific,كن محدداً,Physical,Physical Wellbeing,الرفاه البدني,🏃,2,09:15,Straighten your posture and unclench your jaw.,اعتدل في جلستك وأرخِ فكّك.,draft,Scheduled,,
