Day,RevealDate,DateLabel,Weekday,WeekArc,DailyThemeEN,DailyThemeAR,SocialEN,SocialAR,SocialSource,PhysicalEN,PhysicalAR,PhysicalSource,FinancialEN,FinancialAR,FinancialSource,MentalEN,MentalAR,MentalSource,Status,SentDateTime,RunID
1,2026-08-03,3 Aug,Mon,W1 · I See You,Use Their Name,استخدم اسمه,Use Their Name - Greet one colleague by name today.,استخدم اسمه - حيِّ زميلاً واحداً باسمه اليوم.,#1,Stand and stretch for one minute before your next task.,قِف وتمدّد لمدة دقيقة قبل مهمتك التالية.,draft,Note one small expense you can plan for this week.,دوّن مصروفاً بسيطاً يمكنك التخطيط له هذا الأسبوع.,draft,Take three slow breaths before you start.,خذ ثلاثة أنفاس بطيئة قبل أن تبدأ.,draft,Scheduled,,
2,2026-08-04,4 Aug,Tue,W1 · I See You,Cross the Circle,وسّع دائرة التواصل,Cross the Circle - Greet someone outside your usual team or department.,وسّع دائرة التواصل - حيِّ شخصاً من خارج فريقك أو قسمك المعتاد.,#21,Take the stairs or a short walk between tasks.,اصعد الدرج أو امشِ قليلاً بين المهام.,draft,Check one subscription you no longer use.,راجع اشتراكاً واحداً لم تعد تستخدمه.,draft,Set one clear intention for your day.,حدّد نيّة واضحة واحدة ليومك.,draft,Scheduled,,
3,2026-08-05,5 Aug,Wed,W1 · I See You,Notice Someone New,لاحظ شخصاً جديداً,Notice Someone New - Acknowledge a colleague you do not normally speak with.,لاحظ شخصاً جديداً - أظهر التقدير لزميل لا تتحدث معه عادةً.,#24,Roll your shoulders back slowly five times.,أدِر كتفيك للخلف ببطء خمس مرات.,draft,Set aside a small amount toward a simple goal.,خصّص مبلغاً صغيراً لهدف بسيط.,draft,Pause for thirty seconds between tasks.,توقّف ثلاثين ثانية بين المهام.,draft,Scheduled,,
4,2026-08-06,6 Aug,Thu,W1 · I See You,Make the Welcome Real,اجعل الترحيب حقيقياً,"Make the Welcome Real - Welcome someone beginning a shift, joining a meeting, or entering your work area.",اجعل الترحيب حقيقياً - رحّب بمن يبدأ مناوبته أو ينضم إلى اجتماع أو يدخل منطقة عملك.,#41,Drink a glass of water now.,اشرب كوب ماء الآن.,draft,Compare prices before one purchase today.,قارن الأسعار قبل عملية شراء واحدة اليوم.,draft,Name one thing you're grateful for now.,اذكر أمراً واحداً تشعر بالامتنان له الآن.,draft,Scheduled,,
5,2026-08-07,7 Aug,Fri,W1 · I See You,End with Warmth,اختم يومك بودّ,"End with Warmth - Before your day or shift ends, wish one colleague well.",اختم يومك بودّ - قبل نهاية يومك أو مناوبتك، تمنَّ الخير لزميل.,#20,Rest your eyes: look far away for twenty seconds.,أرِح عينيك: انظر إلى مكان بعيد لمدة عشرين ثانية.,draft,Write down one financial goal for the month.,اكتب هدفاً مالياً واحداً لهذا الشهر.,draft,Give one task your full attention.,امنح مهمة واحدة كامل انتباهك.,draft,Scheduled,,
6,2026-08-10,10 Aug,Mon,W2 · I Appreciate You,Make It Specific,كن محدداً,Make It Specific - Thank one colleague for a specific action and explain why it helped.,كن محدداً - اشكر زميلاً على عمل محدد واشرح كيف أحدث فرقاً.,#3,Straighten your posture and unclench your jaw.,اعتدل في جلستك وأرخِ فكّك.,draft,Try a no-spend moment: pause one small buy.,جرّب لحظة بلا إنفاق: أجّل عملية شراء صغيرة.,draft,Notice a tense muscle and let it soften.,لاحظ عضلة متوترة ودعها تسترخي.,draft,Scheduled,,
7,2026-08-11,11 Aug,Tue,W2 · I Appreciate You,Recognize the Effort,قدّر الجهد,"Recognize the Effort - Appreciate someone’s effort, even if the work is still in progress.",قدّر الجهد - عبّر عن تقديرك لجهد شخص حتى لو كان العمل لا يزال مستمراً.,#83,Take a two-minute walk to reset your energy.,امشِ دقيقتين لتجديد طاقتك.,draft,Review one bill for anything unexpected.,راجع فاتورة واحدة بحثاً عن أي مبلغ غير متوقع.,draft,Take a mindful break away from screens.,خذ استراحة واعية بعيداً عن الشاشات.,draft,Scheduled,,
8,2026-08-12,12 Aug,Wed,W2 · I Appreciate You,Send It,أرسلها,Send It - Message a colleague who made your work easier this week.,أرسلها - ابعث رسالة لزميل جعل عملك أسهل هذا الأسبوع.,#4,Loosen your neck with gentle side-to-side stretches.,أرخِ رقبتك بتمدد لطيف يميناً ويساراً.,draft,Plan tomorrow's spending before it happens.,خطّط لمصروف الغد قبل حدوثه.,draft,Speak to yourself as kindly as to a friend.,تحدّث إلى نفسك بلطف كما تخاطب صديقاً.,draft,Scheduled,,
9,2026-08-13,13 Aug,Thu,W2 · I Appreciate You,Pass It On,انقلها إليه,"Pass It On - If you hear positive feedback about a colleague, make sure they receive it.",انقلها إليه - إذا سمعت إشادة بزميل، فتأكد من وصولها إليه.,#64,Refill your water bottle and keep it close.,أعد ملء زجاجة الماء واجعلها قريبة منك.,draft,Learn one new thing about budgeting today.,تعلّم شيئاً جديداً عن إدارة الميزانية اليوم.,draft,Write down what's on your mind to clear it.,اكتب ما يشغل بالك لتصفّي ذهنك.,draft,Scheduled,,
10,2026-08-14,14 Aug,Fri,W2 · I Appreciate You,Finish with Appreciation,اختم بالتقدير,Finish with Appreciation - Tell one colleague what you valued about working with them this week.,اختم بالتقدير - أخبر زميلاً بما قدّرته في العمل معه هذا الأسبوع.,#46,Stand up during your next phone call or reading.,قِف أثناء مكالمتك أو قراءتك القادمة.,draft,Separate a want from a need before buying.,ميّز بين الرغبة والحاجة قبل الشراء.,draft,Let one small task be good enough today.,دع مهمة صغيرة تكون جيدة بما يكفي اليوم.,draft,Scheduled,,
