NudgeID,NudgeText,Status,SentDateTime,RunID
1,Take three slow breaths before opening your laptop.,Pending,,
2,Set one positive intention for the day.,Pending,,
3,Spend 30 seconds mentally preparing for your workload.,Pending,,
4,"Before your first email, take a moment to sit still.",Pending,,
5,Name one thing you're looking forward to today.,Pending,,
6,Start the day by unclenching your jaw and dropping your shoulders.,Pending,,
7,"Decide the single most important task for today, and do it first.",Pending,,
8,"Greet a colleague this morning, even with a quick hello.",Pending,,
9,"Take a full breath in for four counts, out for six.",Pending,,
10,Picture the day going well before it begins.,Pending,,
11,Drink a glass of water before your first coffee.,Pending,,
12,Write down one thing you're grateful for this morning.,Pending,,
13,Notice how your feet feel on the floor for a few seconds.,Pending,,
14,Open a window or step outside for one minute of fresh air.,Pending,,
15,Set your phone aside for the first ten minutes of work.,Pending,,
16,Choose calm over rushing as you begin your day.,Pending,,
17,Stretch your arms above your head and take a deep breath.,Pending,,
18,Remind yourself: you don't have to do everything at once.,Pending,,
19,Plan a short break into your morning right now.,Pending,,
20,Give yourself permission to start slowly today.,Pending,,
21,"Pause and take five deep, slow breaths.",Pending,,
22,Close your eyes for 20 seconds and just breathe.,Pending,,
23,"Try box breathing: in for 4, hold 4, out 4, hold 4.",Pending,,
24,Notice three sounds around you right now.,Pending,,
25,Feel the weight of your body in your chair for a moment.,Pending,,
26,Take one mindful breath before your next meeting.,Pending,,
27,Let your next exhale be longer than your inhale.,Pending,,
28,"Pause and notice how you're feeling, without judging it.",Pending,,
29,Rest your attention on your breath for a slow count of ten.,Pending,,
30,Unclench your hands and let them relax completely.,Pending,,
31,Take a breath and soften the muscles around your eyes.,Pending,,
32,"Sit tall, breathe in, and let your shoulders drop on the exhale.",Pending,,
33,"Notice one thing you can see, hear, and feel right now.",Pending,,
34,Give yourself a 30-second pause between tasks.,Pending,,
35,"Breathe in calm, breathe out tension.",Pending,,
36,Place a hand on your chest and take three gentle breaths.,Pending,,
37,Let go of the last task before starting the next.,Pending,,
38,Take a slow breath and relax your forehead.,Pending,,
39,"For one minute, do nothing but breathe.",Pending,,
40,Notice the pause between your breaths.,Pending,,
41,Stand up and stretch for a moment.,Pending,,
42,Roll your shoulders back five times.,Pending,,
43,Take a short walk to refill your water.,Pending,,
44,Check your posture: sit tall and relax your shoulders.,Pending,,
45,Stretch your neck gently from side to side.,Pending,,
46,Stand up and reach for the ceiling.,Pending,,
47,Walk to a window and look outside for a minute.,Pending,,
48,Do a few gentle wrist circles to ease tension.,Pending,,
49,Take the long way to your next destination.,Pending,,
50,Stretch your back by reaching forward slowly.,Pending,,
51,Get up and move for two minutes.,Pending,,
52,Loosen your ankles with a few slow circles.,Pending,,
53,Push your chair back and do a gentle seated twist.,Pending,,
54,Stretch your legs out and point your toes.,Pending,,
55,Stand and shake out your arms and hands.,Pending,,
56,Take a few steps away from your desk right now.,Pending,,
57,Open your chest by drawing your shoulder blades together.,Pending,,
58,Try a slow forward fold to release your lower back.,Pending,,
59,Walk and take five deep breaths as you go.,Pending,,
60,Adjust your screen so you're not hunching forward.,Pending,,
61,Look at something 20 feet away for 20 seconds.,Pending,,
62,Blink slowly ten times to refresh your eyes.,Pending,,
63,Rest your eyes by looking away from the screen.,Pending,,
64,Focus on a distant object to relax your eyes.,Pending,,
65,Close your eyes and let them rest for 15 seconds.,Pending,,
66,Give your eyes a break from the screen's glare.,Pending,,
67,Look out a window and let your eyes wander.,Pending,,
68,Cup your palms over your closed eyes for a moment.,Pending,,
69,Step back from your screen and soften your gaze.,Pending,,
70,Take a short break from all screens right now.,Pending,,
71,Take a sip of water.,Pending,,
72,Refill your water bottle now.,Pending,,
73,Have you had enough water this morning?,Pending,,
74,Pause for a healthy snack if you're hungry.,Pending,,
75,Drink a glass of water before your next meeting.,Pending,,
76,Keep water within reach for the next hour.,Pending,,
77,Swap one coffee for a glass of water today.,Pending,,
78,"Notice if you're thirsty, and take a drink.",Pending,,
79,"Fuel your focus with a small, healthy bite.",Pending,,
80,"Give yourself a proper break to eat, away from your desk.",Pending,,
81,Close the tabs you don't need right now.,Pending,,
82,Pick one task and give it your full attention.,Pending,,
83,Silence notifications for the next 25 minutes.,Pending,,
84,Do one thing at a time for the next hour.,Pending,,
85,Write your top three priorities for today.,Pending,,
86,"Tackle the task you've been putting off, just for five minutes.",Pending,,
87,Protect the next half hour for deep focus.,Pending,,
88,Turn off email alerts while you concentrate.,Pending,,
89,Break your big task into one small next step.,Pending,,
90,Finish one thing before starting another.,Pending,,
91,Clear your desk of one thing you don't need.,Pending,,
92,Set a timer and focus fully until it rings.,Pending,,
93,Ask: what's the one thing that matters most right now?,Pending,,
94,Give yourself a clear stopping point for this task.,Pending,,
95,Put your phone out of sight for the next hour.,Pending,,
96,Choose progress over perfection on this task.,Pending,,
97,Note where you left off before you switch tasks.,Pending,,
98,Start with the easiest step to build momentum.,Pending,,
99,Let one small task be 'good enough' today.,Pending,,
100,Take a breath and return your focus to now.,Pending,,
101,Take a proper break away from your desk.,Pending,,
102,Step away for five minutes; the work will wait.,Pending,,
103,Give yourself permission to pause.,Pending,,
104,A short break now will sharpen your focus later.,Pending,,
105,Rest for a moment before the next task.,Pending,,
106,Make a warm drink and enjoy it slowly.,Pending,,
107,Step outside for a breath of fresh air.,Pending,,
108,Take a two-minute pause with no screen.,Pending,,
109,Let yourself do nothing for a minute.,Pending,,
110,Stretch and reset before your next meeting.,Pending,,
111,Think of one thing that went well today.,Pending,,
112,Send a quick thank-you to someone who helped you.,Pending,,
113,Notice one small thing you're grateful for right now.,Pending,,
114,Acknowledge something you've done well today.,Pending,,
115,Recall a recent moment that made you smile.,Pending,,
116,Appreciate one good thing about your workspace.,Pending,,
117,"Give someone genuine, specific praise today.",Pending,,
118,Notice a kindness someone showed you recently.,Pending,,
119,Reflect on a strength you brought to today's work.,Pending,,
120,"Celebrate a small win, however minor.",Pending,,
